R1, R2, L1sigma, L2sigma, Lm, L1, L2, sigma
370e-3, 225e-3, 2.27e-3, 2.27e-3, 82.5e-3, 0, 0, 0
370e-3, 202.5e-3, 2.27e-3, 2.27e-3, 82.5e-3, 0, 0, 0
370e-3, 247.5e-3, 2.27e-3, 2.27e-3, 82.5e-3, 0, 0, 0
333e-3, 225e-3, 2.27e-3, 2.27e-3, 82.5e-3, 0, 0, 0
407e-3, 225e-3, 2.27e-3, 2.27e-3, 82.5e-3, 0, 0, 0
370e-3, 225e-3, 2.27e-3, 2.27e-3, 74.25e-3, 0, 0, 0
370e-3, 225e-3, 2.27e-3, 2.27e-3, 90.75e-3, 0, 0, 0
370e-3, 225e-3, 2.043e-3, 2.27e-3, 82.5e-3, 0, 0, 0
370e-3, 225e-3, 2.497e-3, 2.27e-3, 82.5e-3, 0, 0, 0
370e-3, 225e-3, 2.27e-3, 2.043e-3, 82.5e-3, 0, 0, 0
370e-3, 225e-3, 2.27e-3, 2.497e-3, 82.5e-3, 0, 0, 0
